"Reference","Qty","DNP","MANUFACTURER","Manufacturer"
"Accelerometer1","1",""," 511-LSM6DSOXTR ",""
"C1","1",""," 581-KAF21KR71E105KU ",""
"C2","1",""," 187-CL10B474KB8VPJC ",""
"C3,C7,C8","3",""," 581-KAM21KR72A104KU ",""
"C4","1",""," 581-CM105X5R226M16AT ",""
"C5","1",""," 581-KAF15AR71H104KM ",""
"C6","1",""," 581-KAF21KR71E225KU ",""
"C9","1",""," 581-TLCL226M006XTA ",""
"D1","1","","CSL1101WBCW1 ",""
"D2,D3","2","","RB168MM-30TR",""
"H1,H2,H3,H4","4","","-",""
"J11","1","","USB4105-GF-A",""
"LDO1","1","","TLV76633QWDRBRQ1",""
"MCU1","1",""," ESP32-S3-MINI-1-N8 ",""
"Q1","1",""," 781-SI7617DN-GE3 ",""
"R1","1","","ERJ-1RKD1000C",""
"R2","1","","5-2176074-3",""
"R3,R4,R7,R10","4",""," 652-CRT0805AFY-1001E ",""
"R5,R6","2","","ERA-2AED512X",""
"R8","1",""," ERJ-U01F1004C ",""
"R9","1","","AF0201FR-07499KL",""
"RescueDCPin1,U1","2","","",""
"SW3","1","","CKN10723CT-ND",""
